expression,english_description
"¬Member(u,x)",It is not the case that u is a member of x
Animal(2),2 is an animal
¬∃x Animal(g(z)),"It is not the case that There exists x, g(z) is an animal"
∀w (Student(w) → (∃v Student(y) ∧ ∃x (Even(x) ∧ Dog(w)))),"For every w, if w is a student, then There exists v, y is a student and There exists x such that x is even and w is a dog"
"¬(∃y ParentOf(g(x),v) → Subset(y,v))","It is not the case that if There exists y, g(x) is a parent of v, then y is a subset of v"
"((¬Loves(y,g(u)) → ∃v (Odd(v) ∧ Student(1))) → Cat(f(x)))","If if It is not the case that y loves g(u), then There exists v such that v is odd and 1 is a student, then f(x) is a cat"
"(Odd(h(z)) ∨ ∀z (Animal(z) → ∃x Member(f(v),v)))","H(z) is odd or For every z, if z is an animal, then There exists x, f(v) is a member of v"
"(((Human(b) → Human(x)) ↔ ParentOf(2,h(y))) ∧ ¬Even(f(w)))","If b is a human, then x is a human if and only if 2 is a parent of h(y) and It is not the case that f(w) is even"
"Loves(y,b)",Y loves b
(Odd(w) ↔ ∃x ¬Prime(f(g(u)))),"W is odd if and only if There exists x, It is not the case that f(g(u)) is prime"
∀v ¬a = a,"For every v, It is not the case that a equals a"
"(¬¬ParentOf(v,v) ∨ 1 = c)",It is not the case that It is not the case that v is a parent of v or 1 equals c
"(0 = x → Loves(y,b))","If 0 equals x, then y loves b"
"∃z (Even(z) ∧ ∀v (Loves(f(h(z)),y) ∧ Cat(c)))","There exists z such that z is even and For every v, f(h(z)) loves y and c is a cat"
¬f(v) = 1,It is not the case that f(v) equals 1
f(z) = b,F(z) equals b
¬∀x Odd(g(w)),"It is not the case that For every x, g(w) is odd"
¬Prime(w),It is not the case that w is prime
∀u ∀z (Student(z) → ¬Even(y)),"For every u, For every z, if z is a student, then It is not the case that y is even"
(g(u) = 1 ↔ g(g(c)) = c),G(u) equals 1 if and only if g(g(c)) equals c
"((Odd(2) → ¬Less(2,h(v))) ∧ ((Equal(b,c) ↔ Greater(u,h(u))) → ¬Friend(c,2)))","If 2 is odd, then It is not the case that 2 is less than h(v) and if b is equal to c if and only if u is greater than h(u), then It is not the case that c is a friend of 2"
∀w (Animal(w) → h(x) = w),"For every w, if w is an animal, then h(x) equals w"
"(¬∃x Member(v,x) ↔ Member(0,2))","It is not the case that There exists x, v is a member of x if and only if 0 is a member of 2"
(∀u (Animal(u) → (Animal(x) ∧ Dog(v))) → Animal(u)),"If For every u, if u is an animal, then x is an animal and v is a dog, then u is an animal"
"(Knows(f(v),x) ↔ (∃u (Odd(u) ∧ Subset(u,u)) ∧ ∀w (Even(w) → Member(u,2))))","F(v) knows x if and only if There exists u such that u is odd and u is a subset of u and For every w, if w is even, then u is a member of 2"
Prime(u),U is prime
Prime(x),X is prime
"∀x Likes(f(y),u)","For every x, f(y) likes u"
¬∀y ∃y z = 0,"It is not the case that For every y, There exists y, z equals 0"
"Loves(c,h(v))",C loves h(v)
"(((Loves(z,0) ↔ Odd(g(v))) → ∃v (Animal(v) ∧ Even(u))) → Animal(z))","If if z loves 0 if and only if g(v) is odd, then There exists v such that v is an animal and u is even, then z is an animal"
"Member(y,w)",Y is a member of w
"(Subset(f(y),v) → (Less(c,y) → Odd(h(u))))","If f(y) is a subset of v, then if c is less than y, then h(u) is odd"
∀z (Professor(z) → Human(h(h(u)))),"For every z, if z is a professor, then h(h(u)) is a human"
"((g(u) = w ∨ ¬Loves(f(u),1)) → ((Mortal(1) ∧ Animal(c)) ↔ Human(w)))","If g(u) equals w or It is not the case that f(u) loves 1, then 1 is mortal and c is an animal if and only if w is a human"
Even(y),Y is even
"∃w (Animal(w) ∧ (∃y (Professor(y) ∧ Knows(g(2),z)) ↔ (Knows(x,w) ↔ Likes(h(v),y))))",There exists w such that w is an animal and There exists y such that y is a professor and g(2) knows z if and only if x knows w if and only if h(v) likes y
"Subset(g(w),y)",G(w) is a subset of y
Prime(h(z)),H(z) is prime
Odd(f(v)),F(v) is odd
"¬((y = g(u) ∧ h(w) = v) ↔ ¬Subset(h(u),g(z)))",It is not the case that y equals g(u) and h(w) equals v if and only if It is not the case that h(u) is a subset of g(z)
∀y (Professor(y) → ∃v g(g(z)) = 1),"For every y, if y is a professor, then There exists v, g(g(z)) equals 1"
"(Dog(h(u)) ∧ Equal(w,h(u)))",H(u) is a dog and w is equal to h(u)
Student(g(f(u))),G(f(u)) is a student
"∀x (Cat(x) → Less(h(w),g(x)))","For every x, if x is a cat, then h(w) is less than g(x)"
Animal(0),0 is an animal
∀w ∀x (Human(x) → Odd(w)),"For every w, For every x, if x is a human, then w is odd"
Animal(v),V is an animal
Cat(0),0 is a cat
"∃y (Dog(y) ∧ (∃u Even(u) ∨ ∀z (Prime(z) → Likes(h(z),f(z)))))","There exists y such that y is a dog and There exists u, u is even or For every z, if z is prime, then h(z) likes f(z)"
∀w a = u,"For every w, a equals u"
∀x Odd(g(z)),"For every x, g(z) is odd"
Cat(c),C is a cat
(Prime(h(f(z))) ∧ ∀v (Dog(v) → Odd(v))),"H(f(z)) is prime and For every v, if v is a dog, then v is odd"
"((u = y ∧ ¬Member(w,0)) → ((Even(g(1)) ∧ Likes(y,g(w))) ∨ Knows(v,y)))","If u equals y and It is not the case that w is a member of 0, then g(1) is even and y likes g(w) or v knows y"
∃v (Professor(v) ∧ (¬Dog(f(x)) ↔ 1 = x)),There exists v such that v is a professor and It is not the case that f(x) is a dog if and only if 1 equals x
"(Likes(2,0) ↔ ¬∃u Loves(g(x),v))","2 likes 0 if and only if It is not the case that There exists u, g(x) loves v"
"((Member(b,y) ∧ ∃u (Student(u) ∧ Cat(y))) ∧ w = b)",B is a member of y and There exists u such that u is a student and y is a cat and w equals b
(w = g(w) ∨ Student(b)),W equals g(w) or b is a student
¬Cat(0),It is not the case that 0 is a cat
∃v ¬∀z (Cat(z) → Dog(y)),"There exists v, It is not the case that For every z, if z is a cat, then y is a dog"
"Loves(b,u)",B loves u
"Knows(a,v)",A knows v
u = u,U equals u
"¬(Member(a,v) ↔ Friend(g(w),y))",It is not the case that a is a member of v if and only if g(w) is a friend of y
¬∃z (Human(z) ∧ (u = 2 ∨ Prime(z))),It is not the case that There exists z such that z is a human and u equals 2 or z is prime
"∀x (Student(x) → Equal(h(y),w))","For every x, if x is a student, then h(y) is equal to w"
"¬((z = v ↔ Loves(w,v)) → ∃w Less(x,w))","It is not the case that if z equals v if and only if w loves v, then There exists w, x is less than w"
"(Dog(f(x)) ↔ ((Subset(h(z),1) ∨ Student(g(x))) ↔ Member(b,z)))",F(x) is a dog if and only if h(z) is a subset of 1 or g(x) is a student if and only if b is a member of z
∃x ¬Mortal(g(c)),"There exists x, It is not the case that g(c) is mortal"
"∃u (Student(u) ∧ Friend(2,h(1)))",There exists u such that u is a student and 2 is a friend of h(1)
"Less(g(f(f(v))),h(v))",G(f(f(v))) is less than h(v)
