id,sympy,natural_language
1,"ForAll(u, Or(T(u), Exists(x, S(x))))","For all u, either T(u) or there exists x such that S(x)."
2,"Exists(z, And(Not(T(z)), Exists(w, M(z,w))))","There exists z such that not T(z) and there exists w with M(z,w)."
3,"ForAll(v, Exists(z, L(v,z)))","For all v, there exists z such that L(v,z)."
4,"ForAll(u, Implies(Exists(w, M(u,w)), S(u)))","For all u, if there exists w with M(u,w) then S(u)."
5,"Exists(u, Exists(v, Exists(z, And(L(u,v), L(v,z)))))","There exist u, v, and z such that L(u,v) and L(v,z)."
6,"ForAll(w, Or(Not(T(w)), S(w)))","For all w, either not T(w) or S(w)."
7,"ForAll(w, Equivalent(Q(w), T(w)))","For all w, Q(w) if and only if T(w)."
8,"Exists(v, ForAll(u, Implies(O(v,u), P(u))))","There exists v such that for all u, if O(v,u) then P(u)."
9,"ForAll(z, Exists(w, N(z,w)))","For all z, there exists w such that N(z,w)."
10,"Exists(y, Exists(w, Exists(u, And(O(y,w), O(w,u)))))","There exist y, w, and u such that O(y,w) and O(w,u)."
11,"ForAll(v, Implies(Exists(y, M(v,y)), Q(v)))","For all v, if there exists y with M(v,y) then Q(v)."
12,"Exists(v, And(P(v), P(v)))",There exists v such that P(v) and P(v).
13,"Exists(x, ForAll(y, Implies(N(x,y), V(y))))","There exists x such that for all y, if N(x,y) then V(y)."
14,"ForAll(y, ForAll(z, Implies(O(y,z), O(z,y))))","For all y and z, if O(y,z) then O(z,y)."
15,"Exists(x, ForAll(u, Equivalent(S(x), N(x,u))))","There exists x such that for all u, S(x) iff N(x,u)."
16,"Exists(y, Not(P(y)))",There exists y such that not P(y).
17,"ForAll(z, Implies(And(P(z), Q(z)), V(z)))","For all z, if P(z) and Q(z) then V(z)."
18,"ForAll(x, Implies(R(x), Or(V(x), P(x))))","For all x, if R(x) then V(x) or P(x)."
19,"ForAll(y, Implies(S(y), Q(y)))","For all y, if S(y) then Q(y)."
20,"ForAll(v, Implies(V(v), R(v)))","For all v, if V(v) then R(v)."
21,"ForAll(w, Or(Not(S(w)), Q(w)))","For all w, either not S(w) or Q(w)."
